oid	schema	name	identity_args	return_type	prokind	provolatile	prosecdef	owner	proconfig	language	prosrc_md5	prosrc_len	proacl
138630	public	create_production_order_v2	p_store_id uuid, p_order_type text, p_customer_name text, p_customer_ci text, p_customer_phone text, p_customer_address text, p_budget_total numeric, p_budget_currency text, p_description text, p_notes text, p_items jsonb, p_advance_amount numeric, p_advance_method text, p_advance_currency text, p_created_by uuid, p_idempotency_key text	jsonb	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	00d5d9ae88cbfb38188ac4e67681d7c8	3981	postgres=X/postgres,service_role=X/postgres
133213	public	create_purchase_order	p_store_id uuid, p_supplier_name text, p_supplier_id uuid, p_po_number text, p_notes text, p_expected_date date, p_created_by uuid, p_items jsonb	jsonb	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	93856bef72bf97ebf89ab507cf2daa4f	4974	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
136270	public	create_quotation	p_store_id uuid, p_items jsonb, p_user_id uuid, p_customer_id uuid, p_customer_name text, p_customer_phone text, p_discount_type text, p_discount_value numeric, p_notes text, p_valid_until date	jsonb	FUNCTION	v	true	postgres	search_path=public	plpgsql	daceb8d201b1bd85b77270d9f040b6eb	2456	postgres=X/postgres,service_role=X/postgres
138592	public	create_received_service_v2	p_store_id uuid, p_supplier text, p_total_amount numeric, p_service_type_id uuid, p_service_type_name text, p_service_date date, p_currency text, p_exchange_rate numeric, p_payment_terms_days integer, p_distribution_method text, p_reference_doc text, p_observations text, p_receipt_ids jsonb, p_created_by uuid	jsonb	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	3363ad631b9bc7f64d00c1c087506ee4	3558	postgres=X/postgres,service_role=X/postgres
136508	public	create_sale	p_store_id uuid, p_seller_id uuid, p_total_amount numeric, p_items jsonb, p_subtotal numeric, p_discount_type text, p_discount_value numeric, p_payment_method text, p_tax_amount numeric, p_applied_taxes jsonb, p_transaction_id uuid, p_operation_date timestamp with time zone, p_cash_amount numeric, p_transfer_amount numeric, p_idempotency_key text, p_sale_currency text, p_sale_exchange_rate numeric, p_zelle_amount numeric, p_warehouse_id uuid, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	65a44650af23cb3a4fd36018b35591d5	4324	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
141788	public	create_sale_v2	p_store_id uuid, p_seller_id uuid, p_items jsonb, p_payment_method text, p_discount_type text, p_discount_value numeric, p_applied_taxes jsonb, p_tax_amount numeric, p_total_amount numeric, p_subtotal numeric, p_cash_amount numeric, p_transfer_amount numeric, p_zelle_amount numeric, p_sale_currency text, p_sale_exchange_rate numeric, p_customer_id uuid, p_customer_name text, p_supervisor_user_id uuid, p_idempotency_key text, p_operation_date timestamp with time zone, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	7edb09b6b6f83b6d943e6171acf3412c	14915	=X/postgres,postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
138143	public	create_store_with_membership	p_name text, p_address text, p_created_by uuid, p_max_stores integer, p_logo_url text, p_reeup text, p_nit text, p_bank_account text, p_phone text, p_email text, p_slug text, p_plantilla text, p_signature_url text, p_stamp_url text, p_latitude double precision, p_longitude double precision, p_tenant_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=pg_catalog, public	plpgsql	da512cbcbbc4cbab35edf48bde15ff4d	2038	postgres=X/postgres,service_role=X/postgres
137073	public	create_transfer	p_origin_store_id uuid, p_destination_store_id uuid, p_items jsonb, p_notes text, p_transaction_id uuid, p_operation_date timestamp with time zone, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public, pg_temp	plpgsql	a1dd6f18e32593d3f93c5c44bafc91ba	5031	postgres=X/postgres,authenticated=X/postgres,service_role=X/postgres
142308	public	create_vale_salida	p_store_id uuid, p_items jsonb, p_production_order_id uuid, p_notes text, p_idempotency_key text	jsonb	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	9916fa048d2cb95d48b77cc2d3b0c610	125	postgres=X/postgres,service_role=X/postgres
142325	public	create_vale_salida	p_store_id uuid, p_items jsonb, p_production_order_id uuid, p_notes text, p_idempotency_key text, p_user_id uuid	jsonb	FUNCTION	v	true	postgres	search_path=public, extensions	plpgsql	655e93defaa49cf53696525700573c87	5256	postgres=X/postgres,service_role=X/postgres
