reset_store_data(uuid,boolean,uuid)  prod=812617907244c6073b3ef9d82dea7e2f  repo=4148a22f403c01e3acdadcbc988d9de9
restore_store_backup(uuid,jsonb,text,text)  prod=ca3178d0930b66278bf245abd31cc94e  repo=423ac01ed7000b7d22d8d6629e4410e9
reverse_adjustment(uuid,text,uuid)  prod=43b309a97339f8c3a737d6f895af53d7  repo=10ba198fe639afb6fd3782de6dd26ff6
reverse_devolution(uuid,text,uuid)  prod=7374c7ad99d5d830b8de3da48dfa0c61  repo=4823315c81cd03cb9a5e848eee08d501
reverse_receipt(uuid,text,uuid)  prod=a2dd36ed6fac87a031c7bc5c8e514129  repo=3a46bb3f8f89419c4ae9538ca8b64f47
reverse_transaction(uuid,text,uuid)  prod=fd19ca454af79a5ad6614820bded5fca  repo=d53bb554f52033551653f7de9cbf7bb6
reverse_transfer(uuid,text,uuid)  prod=462bd8de487ca9d840b6b34f68d87051  repo=d2a64519a95f9396b7860964b505cf64
soft_delete_store(uuid,uuid)  prod=375e51cc69c4181f8baec8964a6ddec8  repo=697d5d627b42251709741a6a38ca8459
update_transaction_taxes(uuid,jsonb,numeric,numeric)  prod=a46ef62186fc0e5e94cde033ef941da8  repo=2c63d2175847067b2753cbc709fdabc3
validate_payment_transactions_invariants()  prod=2d93bdd7d20a9827280852fb2d74de53  repo=4151cd1e9feba996db207c43780d2646
validate_store_can_be_modified(uuid,text)  prod=03371752c43bde123578535ca5d9665d  repo=cf808ae659737f1bb0b1d679daa72246
validate_transfer_stores()  prod=a02ad6423cfddc38525202d70b68b23d  repo=c0dbbef7a8c4036b3874891d4e4d44cd
void_inventory_adjustment(uuid,uuid)  prod=998cc64949d6cce1a26256fb1809af91  repo=739c959bda50ce4c0cbf36471579b308
void_reception_with_reversal(uuid,uuid,text,timestamp with time zone)  prod=d973de447c6dcaf506f806fc3ddf2fa4  repo=6059fcebe4d36bdd5226f2d3fc009be2
withdraw_production_item(uuid,numeric,numeric,uuid,uuid,text)  prod=c67d45eeacd5a9033f0a5da5d60052b5  repo=69607f6505abcd43489059b19b713ee2
